InvoiceNo,PO_No,InvoiceSubTotal,InvoiceTax,InvoiceTotal,PO_Amount,ExpectedDate,PaymentDueDate,VendorName,Invoice_LineItems,PO_LineItems,IsFraud
INV-100000,PO-200000,437.09,0.12,489.54,489.54,2025-08-24 04:03:25.026180,2025-09-23 04:03:25.026180,Vendor_4,ItemList,POList,0
INV-100001,PO-200001,955.64,0.07,1022.53,1022.53,2025-08-06 04:03:25.026232,2025-09-05 04:03:25.026232,Vendor_1,ItemList,POList,0
INV-100002,PO-200002,758.79,0.08,819.49,819.49,2025-08-16 04:03:25.026240,2025-09-15 04:03:25.026240,Vendor_9,ItemList,POList,0
INV-100003,PO-200003,638.79,0.12,715.44,715.44,2025-08-19 04:03:25.026248,2025-09-18 04:03:25.026248,Vendor_8,ItemList,POList,0
INV-100004,PO-200004,240.42,0.1,264.46,264.46,2025-09-03 04:03:25.026253,2025-10-03 04:03:25.026253,Vendor_8,ItemList,POList,0
INV-100005,PO-200005,240.4,0.12,269.25,269.25,2025-08-27 04:03:25.026259,2025-09-26 04:03:25.026259,Vendor_5,ItemList,POList,0
INV-100006,PO-200006,152.28,0.15,175.12,175.12,2025-08-28 04:03:25.026264,2025-09-27 04:03:25.026264,Vendor_4,ItemList,POList,0
INV-100007,PO-200007,879.56,0.06,932.33,932.33,2025-08-20 04:03:25.026271,2025-09-19 04:03:25.026271,Vendor_18,ItemList,POList,0
INV-100008,PO-200008,641.0,0.12,717.92,717.92,2025-08-07 04:03:25.026279,2025-09-06 04:03:25.026279,Vendor_3,ItemList,POList,0
INV-100009,PO-200009,737.27,0.07,812.64,812.64,2025-08-31 04:03:25.026285,2025-09-30 04:03:25.026285,Vendor_19,ItemList,POList,1
INV-100010,PO-200010,118.53,0.09,129.2,129.2,2025-08-18 04:03:25.026291,2025-09-17 04:03:25.026291,Vendor_14,ItemList,POList,0
INV-100011,PO-200011,972.92,0.05,1021.57,1021.57,2025-08-27 04:03:25.026296,2025-09-26 04:03:25.026296,Vendor_2,ItemList,POList,0
